EmployeeID,FirstName,LastName,Email,HireDate,PhoneNumber,CurrentStatus,ManagerID,DepartmentID,RoleID
1,Marybelle,Gorelli,mgorelli0@unesco.org,2020-09-11,+58 190 199 1285,Active,2,9,5
2,Audry,Ivanichev,aivanichev1@yahoo.co.jp,2020-03-12,+377 772 433 3161,Active,8,7,2
3,Druci,Yuryaev,dyuryaev2@java.com,2020-01-19,+7 819 951 2069,Not Active,8,6,8
4,Phillie,Mannion,pmannion3@shop-pro.jp,2020-10-17,+86 470 938 0548,Active,5,5,8
5,Carly,O'Lehane,colehane4@msn.com,2020-08-02,+46 840 305 6418,Active,6,1,8
6,Rocky,Clemo,rclemo5@barnesandnoble.com,2022-09-30,+255 881 671 7328,Active,2,7,8
7,Shay,Ubsdall,subsdall6@skyrock.com,2020-11-02,+86 321 836 2167,Not Active,5,6,3
8,Fawn,Beilby,fbeilby7@statcounter.com,2022-12-03,+55 777 823 1055,Active,10,2,4
9,Gwendolyn,Cadell,gcadell8@ycombinator.com,2020-11-22,+62 253 800 8425,Active,9,4,1
10,Humfrey,Janous,hjanous9@nps.gov,2020-09-23,+1 356 815 3436,Not Active,4,7,9
11,Phelia,Matzel,pmatzela@networkadvertising.org,2021-05-23,+380 589 684 8948,Not Active,5,9,5
12,Rodger,Bilt,rbiltb@sina.com.cn,2020-04-25,+63 609 528 3720,Active,7,4,4
13,Carmita,Craigie,ccraigiec@multiply.com,2020-05-14,+54 663 427 4582,Active,1,3,7
14,Ramsey,Cockshoot,rcockshootd@fc2.com,2021-11-24,+98 666 552 8518,Not Active,2,2,3
15,Malissa,Menauteau,mmenauteaue@disqus.com,2022-08-04,+1 915 323 6819,Active,7,6,2
16,Enoch,Gathercole,egathercolef@ustream.tv,2022-05-07,+86 947 654 6547,Active,1,8,6
17,Bryna,Antoniazzi,bantoniazzig@desdev.cn,2020-08-13,+51 565 647 8711,Active,1,9,8
18,Adair,Strutz,astrutzh@hp.com,2020-02-06,+45 593 367 2960,Not Active,6,8,3
19,Honoria,Blackman,hblackmani@cornell.edu,2022-06-18,+86 926 485 7614,Active,4,6,10
20,Meryl,Roskilly,mroskillyj@amazon.co.uk,2021-01-09,+7 769 805 7348,Not Active,3,3,7
21,Ermanno,Byram,ebyramk@yale.edu,2022-12-07,+972 982 666 9699,Not Active,5,3,2
22,Annalise,Varney,avarneyl@freewebs.com,2020-11-30,+234 155 187 6460,Active,9,2,1
23,Alfred,Lamartine,alamartinem@list-manage.com,2022-08-22,+34 838 742 0117,Active,8,6,6
24,Rodolfo,Linthead,rlintheadn@sphinn.com,2022-02-16,+46 727 704 6595,Not Active,9,2,6
25,Charles,Binney,cbinneyo@ifeng.com,2022-05-31,+86 441 431 6527,Active,2,7,10
26,Tracie,Fetherston,tfetherstonp@networksolutions.com,2020-07-14,+1 785 983 2380,Active,2,5,8
27,Raven,Celez,rcelezq@cyberchimps.com,2020-07-16,+86 820 909 6896,Active,3,6,1
28,Romain,Hamlyn,rhamlynr@parallels.com,2021-06-01,+55 210 350 8249,Active,2,10,7
29,Starr,Pouton,spoutons@nationalgeographic.com,2020-08-29,+66 218 147 5344,Not Active,7,7,3
30,Sabrina,McMearty,smcmeartyt@archive.org,2020-02-17,+27 207 983 0945,Active,10,1,7
31,Clarance,Hamlen,chamlenu@nydailynews.com,2021-07-22,+420 871 960 3670,Active,4,8,9
32,Cherida,Trevethan,ctrevethanv@scientificamerican.com,2020-03-17,+48 597 984 5002,Active,10,3,7
33,Kelli,Henryson,khenrysonw@aboutads.info,2021-08-18,+86 390 387 8346,Active,8,10,7
34,Meade,Jost,mjostx@cnet.com,2022-07-27,+973 193 121 1862,Not Active,7,1,3
35,Melisent,Skirling,mskirlingy@simplemachines.org,2021-06-17,+86 898 102 2944,Active,7,3,7
36,Selinda,McKimmey,smckimmeyz@illinois.edu,2022-10-13,+351 419 460 4991,Active,8,8,10
37,Vanna,Murrill,vmurrill10@hp.com,2020-01-15,+33 926 327 2593,Active,6,3,10
38,Tobias,Brabbs,tbrabbs11@zimbio.com,2022-05-26,+1 234 590 6819,Active,8,4,7
39,Alain,Yegorev,ayegorev12@sakura.ne.jp,2021-09-10,+57 603 106 1896,Active,2,3,1
40,Helaina,Ladloe,hladloe13@usda.gov,2020-11-26,+86 531 240 2450,Active,6,4,9
41,Adelina,Blackhall,ablackhall14@boston.com,2020-09-21,+53 579 108 4542,Active,8,7,4
42,Zorine,Easen,zeasen15@wired.com,2022-04-18,+30 674 435 4841,Not Active,5,10,4
43,Verne,Woodward,vwoodward16@de.vu,2021-04-30,+598 297 946 7587,Active,2,3,2
44,Killian,Gladbeck,kgladbeck17@google.fr,2021-06-20,+1 166 501 3852,Active,6,7,8
45,Kali,Gawkes,kgawkes18@shinystat.com,2022-09-12,+507 705 251 1887,Active,2,1,1
46,Thorsten,Mack,tmack19@nymag.com,2022-03-21,+46 692 262 5751,Active,3,4,1
47,Karen,McClymond,kmcclymond1a@sogou.com,2021-04-11,+55 132 216 2923,Active,9,2,3
48,Timmi,Emerson,temerson1b@icio.us,2020-07-11,+86 851 479 7546,Not Active,6,7,5
49,Kippie,Bedson,kbedson1c@nba.com,2021-04-12,+225 275 287 4907,Active,3,6,4
50,Karmen,Rawling,krawling1d@histats.com,2022-05-19,+81 893 677 4388,Active,6,6,5
51,Illa,Pettett,ipettett1e@scientificamerican.com,2021-12-28,+352 230 191 2336,Active,7,6,10
