EmployeeID,FirstName,LastName,Email,HireDate,PhoneNumber,CurrentStatus,ManagerID,DepartmentID,RoleID
1,Marybelle,Gorelli,mgorelli0@unesco.org,9/11/2020,+58 190 199 1285,Active,2,9,5
2,Audry,Ivanichev,aivanichev1@yahoo.co.jp,3/12/2020,+377 772 433 3161,Active,8,7,2
3,Druci,Yuryaev,dyuryaev2@java.com,1/19/2020,+7 819 951 2069,Not Active,8,6,8
4,Phillie,Mannion,pmannion3@shop-pro.jp,10/17/2020,+86 470 938 0548,Active,5,5,8
5,Carly,O'Lehane,colehane4@msn.com,8/2/2020,+46 840 305 6418,Active,6,1,8
6,Rocky,Clemo,rclemo5@barnesandnoble.com,9/30/2022,+255 881 671 7328,Active,2,7,8
7,Shay,Ubsdall,subsdall6@skyrock.com,11/2/2020,+86 321 836 2167,Not Active,5,6,3
8,Fawn,Beilby,fbeilby7@statcounter.com,12/3/2022,+55 777 823 1055,Active,10,2,4
9,Gwendolyn,Cadell,gcadell8@ycombinator.com,11/22/2020,+62 253 800 8425,Active,9,4,1
10,Humfrey,Janous,hjanous9@nps.gov,9/23/2020,+1 356 815 3436,Not Active,4,7,9
11,Phelia,Matzel,pmatzela@networkadvertising.org,5/23/2021,+380 589 684 8948,Not Active,5,9,5
12,Rodger,Bilt,rbiltb@sina.com.cn,4/25/2020,+63 609 528 3720,Active,7,4,4
13,Carmita,Craigie,ccraigiec@multiply.com,5/14/2020,+54 663 427 4582,Active,1,3,7
14,Ramsey,Cockshoot,rcockshootd@fc2.com,11/24/2021,+98 666 552 8518,Not Active,2,2,3
15,Malissa,Menauteau,mmenauteaue@disqus.com,8/4/2022,+1 915 323 6819,Active,7,6,2
16,Enoch,Gathercole,egathercolef@ustream.tv,5/7/2022,+86 947 654 6547,Active,1,8,6
17,Bryna,Antoniazzi,bantoniazzig@desdev.cn,8/13/2020,+51 565 647 8711,Active,1,9,8
18,Adair,Strutz,astrutzh@hp.com,2/6/2020,+45 593 367 2960,Not Active,6,8,3
19,Honoria,Blackman,hblackmani@cornell.edu,6/18/2022,+86 926 485 7614,Active,4,6,10
20,Meryl,Roskilly,mroskillyj@amazon.co.uk,1/9/2021,+7 769 805 7348,Not Active,3,3,7
21,Ermanno,Byram,ebyramk@yale.edu,12/7/2022,+972 982 666 9699,Not Active,5,3,2
22,Annalise,Varney,avarneyl@freewebs.com,11/30/2020,+234 155 187 6460,Active,9,2,1
23,Alfred,Lamartine,alamartinem@list-manage.com,8/22/2022,+34 838 742 0117,Active,8,6,6
24,Rodolfo,Linthead,rlintheadn@sphinn.com,2/16/2022,+46 727 704 6595,Not Active,9,2,6
25,Charles,Binney,cbinneyo@ifeng.com,5/31/2022,+86 441 431 6527,Active,2,7,10
26,Tracie,Fetherston,tfetherstonp@networksolutions.com,7/14/2020,+1 785 983 2380,Active,2,5,8
27,Raven,Celez,rcelezq@cyberchimps.com,7/16/2020,+86 820 909 6896,Active,3,6,1
28,Romain,Hamlyn,rhamlynr@parallels.com,6/1/2021,+55 210 350 8249,Active,2,10,7
29,Starr,Pouton,spoutons@nationalgeographic.com,8/29/2020,+66 218 147 5344,Not Active,7,7,3
30,Sabrina,McMearty,smcmeartyt@archive.org,2/17/2020,+27 207 983 0945,Active,10,1,7
31,Clarance,Hamlen,chamlenu@nydailynews.com,7/22/2021,+420 871 960 3670,Active,4,8,9
32,Cherida,Trevethan,ctrevethanv@scientificamerican.com,3/17/2020,+48 597 984 5002,Active,10,3,7
33,Kelli,Henryson,khenrysonw@aboutads.info,8/18/2021,+86 390 387 8346,Active,8,10,7
34,Meade,Jost,mjostx@cnet.com,7/27/2022,+973 193 121 1862,Not Active,7,1,3
35,Melisent,Skirling,mskirlingy@simplemachines.org,6/17/2021,+86 898 102 2944,Active,7,3,7
36,Selinda,McKimmey,smckimmeyz@illinois.edu,10/13/2022,+351 419 460 4991,Active,8,8,10
37,Vanna,Murrill,vmurrill10@hp.com,1/15/2020,+33 926 327 2593,Active,6,3,10
38,Tobias,Brabbs,tbrabbs11@zimbio.com,5/26/2022,+1 234 590 6819,Active,8,4,7
39,Alain,Yegorev,ayegorev12@sakura.ne.jp,9/10/2021,+57 603 106 1896,Active,2,3,1
40,Helaina,Ladloe,hladloe13@usda.gov,11/26/2020,+86 531 240 2450,Active,6,4,9
